Days,MaximumTemperature,MinimumTemperature
1 August,27,21
2 August,27,21
3 August,26,21
4 August,27,21
5 August,27,21
6 August,27,21
7 August,27,21
8 August,27,21
9 August,27,21
10 August,27,21
11 August,27,21
12 August,27,21
13 August,26,21
14 August,26,21
15 August,26,21
16 August,27,21
17 August,26,21
18 August,26,21
19 August,26,21
20 August,26,21
21 August,26,21
22 August,26,21
23 August,25,21
24 August,27,21
25 August,27,21
26 August,27,21
27 August,27,21
28 August,27,21
29 August,27,21
30 August,27,21
31 August,27,21
1 September,27,21
2 September,26,21
3 September,27,21
4 September,27,21
5 September,27,21
6 September,27,21
7 September,26,21
8 September,27,21
9 September,27,21
10 September,27,21
11 September,27,21
12 September,26,20
13 September,27,20
14 September,26,20
15 September,26,20
16 September,26,20
17 September,26,20
18 September,26,20
19 September,26,20
20 September,26,20
21 September,25,20
22 September,26,20
23 September,26,20
24 September,25,20
25 September,25,19
26 September,25,19
27 September,26,19
28 September,26,19
29 September,26,19
30 September,26,18
1 October,26,19
2 October,26,19
3 October,26,18
4 October,26,18
5 October,26,18
6 October,26,18
7 October,26,17
8 October,26,17
9 October,25,17
10 October,25,17
11 October,25,17
12 October,25,17
13 October,25,17
14 October,23,17
15 October,24,17
16 October,24,17
17 October,24,16
18 October,24,16
19 October,25,16
20 October,24,15
21 October,23,15
22 October,24,15
23 October,24,15
24 October,24,14
25 October,23,14
26 October,23,14
27 October,23,14
28 October,23,13
30 October,22,13
31 October,23,13
1 November,22,13
2 November,22,13
3 November,22,13
4 November,22,13
5 November,22,13
6 November,22,12
7 November,22,12
8 November,22,12
9 November,22,13
10 November,23,12
11 November,22,12
12 November,22,12
13 November,21,12
14 November,21,12
15 November,21,12
16 November,21,12
17 November,20,11
18 November,21,11
19 November,21,11
20 November,21,11
21 November,21,11
22 November,20,10
23 November,20,10
24 November,21,11
25 November,20,11
26 November,20,11
27 November,20,11
28 November,20,11
29 November,20,10
30 November,20,10
1 December,19,10
2 December,20,10
3 December,20,10
4 December,19,10
5 December,19,9
6 December,19,10
7 December,20,10
8 December,20,10
9 December,19,10
10 December,19,9
11 December,19,9
12 December,18,9
13 December,17,8
14 December,17,8
15 December,16,7
16 December,17,8
17 December,17,7
18 December,17,7
19 December,17,7
20 December,17,7
21 December,17,7
22 December,17,7
23 December,17,7
24 December,17,7
25 December,17,7
26 December,17,6
27 December,16,6
28 December,17,6
29 December,17,6
30 December,17,6
31 December,18,6
1 January,18,7
2 January,16,7
3 January,16,7
4 January,16,7
5 January,16,7
6 January,16,6
7 January,16,6
8 January,16,6
9 January,16,6
10 January,15,5
11 January,15,6
12 January,15,5
13 January,15,5
14 January,16,5
15 January,16,6
16 January,17,6
17 January,16,6
18 January,17,6
19 January,17,6
20 January,16,6
21 January,16,6
22 January,17,6
23 January,17,6
24 January,17,6
25 January,17,6
26 January,17,6
27 January,17,7
28 January,16,6
29 January,17,6
30 January,17,6
31 January,17,6
1 February,17,7
2 February,17,7
3 February,18,6
4 February,19,7
5 February,20,7
6 February,19,8
7 February,19,8
8 February,20,8
9 February,18,8
10 February,18,7
11 February,19,7
12 February,20,7
13 February,18,7
14 February,20,8
15 February,20,8
16 February,19,9
17 February,17,8
18 February,18,8
19 February,20,7
20 February,20,8
21 February,19,9
22 February,20,9
23 February,20,10
24 February,21,9
25 February,21,9
26 February,21,9
27 February,20,9
28 February,20,10
29 February,21,10
1 March,20,10
2 March,20,10
3 March,21,9
4 March,21,10
5 March,22,10
6 March,22,10
7 March,22,10
8 March,22,10
9 March,23,10
10 March,22,10
11 March,23,10
12 March,22,10
13 March,22,10
14 March,22,11
15 March,22,11
16 March,22,11
17 March,23,12
18 March,22,11
19 March,22,11
20 March,23,12
21 March,24,12
22 March,24,12
23 March,24,12
24 March,24,12
25 March,25,14
26 March,25,14
27 March,25,13
28 March,25,14
29 March,25,14
30 March,25,14
31 March,24,13
31 March,24,13
1 April,25,13
2 April,25,13
3 April,25,14
4 April,24,13
5 April,25,14
6 April,25,14
7 April,26,14
8 April,26,14
9 April,26,14
10 April,26,14
11 April,27,14
12 April,27,15
13 April,26,15
14 April,26,15
15 April,25,15
16 April,26,15
17 April,26,15
18 April,26,15
19 April,26,15
20 April,26,16
21 April,26,15
22 April,26,15
23 April,27,15
24 April,27,15
25 April,26,14
26 April,27,15
27 April,27,16
28 April,26,16
29 April,26,16
30 April,26,16
1 May,26,16
2 May,26,16
3 May,26,16
4 May,25,16
5 May,25,16
6 May,25,16
7 May,25,17
8 May,26,17
9 May,26,17
10 May,27,17
11 May,27,17
12 May,27,17
13 May,27,17
14 May,27,17
15 May,27,18
16 May,27,18
17 May,27,18
18 May,27,18
19 May,27,19
20 May,26,18
21 May,27,18
22 May,28,19
23 May,27,19
24 May,27,19
25 May,27,19
26 May,26,19
27 May,26,19
28 May,26,19
29 May,26,19
30 May,26,19
31 May,26,19
1 June,27,20
2 June,28,19
3 June,28,20
4 June,28,20
5 June,28,20
6 June,28,20
7 June,27,20
8 June,28,20
9 June,28,21
10 June,28,21
11 June,28,21
12 June,28,20
13 June,27,21
14 June,28,20
15 June,27,21
16 June,27,21
17 June,27,21
18 June,27,21
19 June,27,21
20 June,27,21
21 June,27,21
22 June,27,21
23 June,27,21
24 June,27,21
25 June,26,21
26 June,27,21
27 June,27,21
28 June,26,21
29 June,26,21
30 June,26,21
1 July,26,21
2 July,26,21
3 July,27,21
4 July,26,22
5 July,26,21
6 July,26,21
7 July,26,21
8 July,27,21
9 July,26,21
10 July,26,21
11 July,26,21
12 July,26,21
13 July,26,22
14 July,27,22
15 July,27,22
16 July,26,22
17 July,26,21
18 July,26,22
19 July,26,21
20 July,26,21
21 July,26,21
22 July,26,21
23 July,26,21
24 July,26,21
25 July,26,21
26 July,27,21
27 July,26,21
28 July,26,21
29 July,27,21
30 July,27,21
31 July,27,21
